Building vocabulary...

--- Top 10 most frequent words (subsampling) ---
  'the   ' | count: 1061396 | discard prob: 98.7%
  'of    ' | count: 593677  | discard prob: 98.3%
  'and   ' | count: 416629  | discard prob: 98.0%
  'one   ' | count: 411764  | discard prob: 97.9%
  'in    ' | count: 372201  | discard prob: 97.8%
  'a     ' | count: 325873  | discard prob: 97.7%
  'to    ' | count: 316376  | discard prob: 97.6%
  'zero  ' | count: 264975  | discard prob: 97.4%
  'nine  ' | count: 250430  | discard prob: 97.3%
  'two   ' | count: 192644  | discard prob: 97.0%
--------------------------------------------------

--------------------------------------------------
Training config:
  Vocab size:     71290 tokens
  Embedding dim:  100
  Epochs:         5
  Batch size:     256
  Window size:    5
  Neg samples:    5
  Optimizer:      sgld
  Learning rate:  0.025
--------------------------------------------------
Epoch 2 | Batch  31000 | Loss: 2.2698 | LR: 0.023764 | Tokens/s: 24672 | Snapshots: 6
Epoch 2 | Batch  32000 | Loss: 2.2641 | LR: 0.023756 | Tokens/s: 24876 | Snapshots: 6
Epoch 2 | Batch  33000 | Loss: 2.2624 | LR: 0.023748 | Tokens/s: 25066 | Snapshots: 6
Epoch 2 | Batch  34000 | Loss: 2.2629 | LR: 0.023741 | Tokens/s: 25230 | Snapshots: 6
Epoch 2 | Batch  35000 | Loss: 2.2618 | LR: 0.023733 | Tokens/s: 25402 | Snapshots: 7
Epoch 2 | Batch  36000 | Loss: 2.2603 | LR: 0.023725 | Tokens/s: 25569 | Snapshots: 7
Epoch 2 | Batch  37000 | Loss: 2.2593 | LR: 0.023718 | Tokens/s: 25720 | Snapshots: 7
Epoch 2 | Batch  38000 | Loss: 2.2589 | LR: 0.023710 | Tokens/s: 25871 | Snapshots: 7
Epoch 2 | Batch  39000 | Loss: 2.2573 | LR: 0.023702 | Tokens/s: 26031 | Snapshots: 7
Epoch 2 | Batch  40000 | Loss: 2.2556 | LR: 0.023695 | Tokens/s: 26170 | Snapshots: 8
Epoch 2 | Batch  41000 | Loss: 2.2549 | LR: 0.023687 | Tokens/s: 26329 | Snapshots: 8
Epoch 2 | Batch  42000 | Loss: 2.2553 | LR: 0.023679 | Tokens/s: 26480 | Snapshots: 8
Epoch 2 | Batch  43000 | Loss: 2.2552 | LR: 0.023672 | Tokens/s: 26605 | Snapshots: 8
Epoch 2 | Batch  44000 | Loss: 2.2560 | LR: 0.023664 | Tokens/s: 26725 | Snapshots: 8
Epoch 2 | Batch  45000 | Loss: 2.2561 | LR: 0.023656 | Tokens/s: 26820 | Snapshots: 9
Epoch 2 | Batch  46000 | Loss: 2.2556 | LR: 0.023649 | Tokens/s: 26920 | Snapshots: 9
Epoch 2 | Batch  47000 | Loss: 2.2557 | LR: 0.023641 | Tokens/s: 27015 | Snapshots: 9
Epoch 2 | Batch  48000 | Loss: 2.2545 | LR: 0.023633 | Tokens/s: 27122 | Snapshots: 9
Epoch 2 | Batch  49000 | Loss: 2.2550 | LR: 0.023626 | Tokens/s: 27227 | Snapshots: 9
Epoch 2 | Batch  50000 | Loss: 2.2545 | LR: 0.023618 | Tokens/s: 27307 | Snapshots: 10
Epoch 2 | Batch  51000 | Loss: 2.2537 | LR: 0.023611 | Tokens/s: 27405 | Snapshots: 10
Epoch 2 | Batch  52000 | Loss: 2.2534 | LR: 0.023603 | Tokens/s: 27497 | Snapshots: 10
Epoch 2 | Batch  53000 | Loss: 2.2536 | LR: 0.023595 | Tokens/s: 27592 | Snapshots: 10
Epoch 2 | Batch  54000 | Loss: 2.2541 | LR: 0.023588 | Tokens/s: 27687 | Snapshots: 10
Epoch 2 | Batch  55000 | Loss: 2.2545 | LR: 0.023580 | Tokens/s: 27775 | Snapshots: 11
Epoch 2 | Batch  56000 | Loss: 2.2542 | LR: 0.023572 | Tokens/s: 27859 | Snapshots: 11
Epoch 2 | Batch  57000 | Loss: 2.2526 | LR: 0.023565 | Tokens/s: 27935 | Snapshots: 11
Epoch 2 | Batch  58000 | Loss: 2.2530 | LR: 0.023557 | Tokens/s: 27993 | Snapshots: 11
Epoch 2 | Batch  59000 | Loss: 2.2518 | LR: 0.023549 | Tokens/s: 28068 | Snapshots: 11
Epoch 2 | Batch  60000 | Loss: 2.2518 | LR: 0.023542 | Tokens/s: 28144 | Snapshots: 12
Epoch 2 | Batch  61000 | Loss: 2.2517 | LR: 0.023534 | Tokens/s: 28212 | Snapshots: 12
Epoch 2 | Batch  62000 | Loss: 2.2514 | LR: 0.023526 | Tokens/s: 28284 | Snapshots: 12
Epoch 2 | Batch  63000 | Loss: 2.2514 | LR: 0.023519 | Tokens/s: 28343 | Snapshots: 12
Epoch 2 | Batch  64000 | Loss: 2.2512 | LR: 0.023511 | Tokens/s: 28413 | Snapshots: 12
Epoch 2 | Batch  65000 | Loss: 2.2504 | LR: 0.023503 | Tokens/s: 28480 | Snapshots: 13
Epoch 2 | Batch  66000 | Loss: 2.2502 | LR: 0.023496 | Tokens/s: 28543 | Snapshots: 13
Epoch 2 | Batch  67000 | Loss: 2.2498 | LR: 0.023488 | Tokens/s: 28597 | Snapshots: 13
Epoch 2 | Batch  68000 | Loss: 2.2497 | LR: 0.023480 | Tokens/s: 28645 | Snapshots: 13
